[RI = (1.5161602006876223 , 1.5168369583472618)]	?	[Mg = (0.3102830384825994 , 3.5317288183213575)]	[Al = (0.29 , 2.8753078439888933)]	?	?	?	?	?	[class = positive]	0,25	0,9661016949152542		0,4	0,6	0,9344262295081968	0,4	0,02072538860103627	0,05181347150259067	0,01642997127439663
?	?	[Mg = (3.314673866349345 , 3.416505135812739)]	?	?	?	?	?	?	[class = positive]	0,3125	0,96045197740113		0,4166666666666667	0,5833333333333334	0,9392265193370166	0,4166666666666667	0,025906735751295335	0,06217616580310881	0,020752234959327764
?	[Na = (13.29412332981753 , 17.244601593002027)]	[Mg = (3.2922737298859004 , 3.5133821509443743)]	?	?	?	?	?	?	[class = positive]	0,25	0,9661016949152542		0,4	0,6	0,9344262295081968	0,4	0,02072538860103627	0,05181347150259067	0,01642997127439663
?	?	[Mg = (3.217139716784854 , 3.4292790083576508)]	?	?	[K = (0.43787793304181477 , 6.21)]	?	[Ba = (0.0 , 1.3696186796839234)]	?	[class = positive]	0,3125	0,96045197740113		0,4166666666666667	0,5833333333333334	0,9392265193370166	0,4166666666666667	0,025906735751295335	0,06217616580310881	0,020752234959327764
?	[Na = (11.248574499053937 , 17.38)]	[Mg = (3.092657976105128 , 3.5766235784177045)]	?	[Si = (70.83050081842745 , 72.67899164426488)]	?	?	?	?	[class = positive]	0,4375	0,9265536723163842		0,35	0,65	0,9479768786127167	0,35	0,03626943005181347	0,10362694300518134	0,027678595398534185
[RI = (1.5163178736224494 , 1.5170159291048742)]	?	[Mg = (0.1563997364527237 , 3.461775010493328)]	?	?	?	?	?	?	[class = positive]	0,1875	0,9887005649717514		0,6	0,4	0,9308510638297872	0,6	0,015544041450777202	0,025906735751295335	0,013396332787457381
?	?	[Mg = (3.184304114266236 , 3.676250171514212)]	?	?	?	[Ca = (8.25889603907161 , 9.807612923352295)]	?	?	[class = positive]	0,8125	0,7457627118644068		0,22413793103448276	0,7758620689655172	0,9777777777777777	0,22413793103448276	0,06735751295336788	0,3005181347150259	0,042444092458857954
?	[Na = (13.320473006897942 , 17.38)]	[Mg = (2.9141900917108425 , 4.075062832108571)]	?	?	?	?	?	?	[class = positive]	0,6875	0,7627118644067796		0,20754716981132076	0,7924528301886793	0,9642857142857143	0,20754716981132076	0,05699481865284974	0,27461139896373055	0,034229106821659645
?	?	[Mg = (2.43098837340394 , 3.8014309872060745)]	?	?	?	[Ca = (8.32658776821 , 9.894956195800882)]	?	?	[class = positive]	0,9375	0,6666666666666666		0,20270270270270271	0,7972972972972973	0,9915966386554622	0,20270270270270271	0,07772020725388601	0,38341968911917096	0,045934119036752666
?	?	[Mg = (3.3006539178073284 , 3.9052341155516643)]	?	?	?	[Ca = (8.760636856497861 , 11.20089470929573)]	?	?	[class = positive]	0,5625	0,8587570621468926		0,2647058823529412	0,7352941176470589	0,9559748427672956	0,2647058823529412	0,046632124352331605	0,17616580310880828	0,03202770544175683
?	?	[Mg = (2.9992397694789794 , 4.308993743018066)]	?	?	?	[Ca = (8.43801132129912 , 10.067263768444883)]	?	?	[class = positive]	0,875	0,7231638418079096		0,2222222222222222	0,7777777777777778	0,9846153846153847	0,2222222222222222	0,07253886010362694	0,32642487046632124	0,0454777309457972
?	?	[Mg = (2.94708857192556 , 4.49)]	?	?	?	[Ca = (8.299430701640166 , 9.853590162969827)]	?	?	[class = positive]	1,0	0,6440677966101694		0,20253164556962025	0,7974683544303798	1,0	0,20253164556962025	0,08290155440414508	0,40932642487046633	0,04896775752369191
